3cffec4f66302d825907f1e751273fb5,10 March 2021  08:33 AM,10 March 2021  08:49 AM,16 хв 45 сек,"7,50","0,50","0,50","0,50","0,50","0,50","0,50","0,00","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,00","0,00","0,00","0,00"
61073f39426e71fc65514c2c793beb8f,10 March 2021  08:33 AM,10 March 2021  08:43 AM,10 хв 43 сек,"10,00","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50"
1f363bc0b2f7c22c0133962add5339e7,10 March 2021  08:33 AM,10 March 2021  08:50 AM,17 хв 49 сек,"10,00","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50"
674b89014c2cfd6d42f3d425efd1d446,10 March 2021  08:33 AM,10 March 2021  08:49 AM,16 хв 31 сек,"9,00","0,00","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,00","0,50","0,50"
e47dd5159aab76e36d503d0dc65f1eb8,10 March 2021  08:33 AM,10 March 2021  08:40 AM,7 хв 32 сек,"9,50","0,00","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50"
056ab1676355b70a294513fdeb7cb998,10 March 2021  08:33 AM,10 March 2021  08:52 AM,18 хв 52 сек,"10,00","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50"
ac2ccd0cb34416d13d9c5f889d6303af,10 March 2021  08:33 AM,10 March 2021  08:50 AM,17 хв 10 сек,"7,50","0,50","0,50","0,50","0,50","0,50","0,00","0,00","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,00","0,00","0,50","0,00"
133b55c39560f06ab32582c6a62f9b10,10 March 2021  08:33 AM,10 March 2021  08:50 AM,17 хв 28 сек,"9,00","0,50","0,50","0,50","0,50","0,00","0,50","0,00","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50"
3012c412122b09da9b5e2c3e65ab4682,10 March 2021  08:33 AM,10 March 2021  08:44 AM,11 хв 14 сек,"8,00","0,00","0,50","0,50","0,50","0,50","0,50","0,00","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,00","0,50","0,00","0,50"
32cecde9991a3dc2494019ebd5eff6ea,10 March 2021  08:33 AM,10 March 2021  08:52 AM,18 хв 55 сек,"10,00","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50"
